,cached_download_latency@client,cpu@cache,cpu_limit,filesize@client,mem@cache,non_cached_download_latency@client,rx_bitrate_cadv@cache:server,tx_bitrate_cadv@cache:client,vcdn_users@client,wl_cachedperc,wl_filesize,wl_ratelimit
513,0.328886351348,39.0406058,100,5.24288,787.595264,0.440207335834,415.940088,448.543488,40.0,5,50,500
514,0.536204817371,43.6645100227,100,5.24288,758.759424,0.956103017784,445.308998,417.006122,70.0,5,50,500
515,0.131561550084,36.013574875,100,5.24288,757.147648,1.62879429898,467.234896,425.148756,100.0,5,50,500
516,0.107832802858,38.889141625,100,5.24288,745.828352,2.30140526682,420.021644,457.673714,140.0,5,50,500
517,0.0793028958245,31.6760278,100,5.24288,747.749376,2.43500072079,420.750968,436.512584,180.0,5,50,500
518,0.011779548113,2.16458005,100,1.048576,59.486208,0.0149245019444,16.850032,17.052344,2.0,10,10,100
519,0.0109125722577,8.6018233,100,1.048576,157.913088,0.0140180604175,67.421776,72.441844,10.0,10,10,100
520,2.08413361309,9.11760805,100,1.048576,184.38144,1.98376885697,90.388668,95.383716,40.0,10,10,100
521,3.55464616248,8.60878475,100,1.048576,193.097728,4.13329490288,72.070692,87.034,70.0,10,10,100
522,4.15615505783,8.97454255,100,1.048576,194.031616,6.98556281621,80.090412,84.359316,100.0,10,10,100
523,7.37223909646,9.93314235,100,1.048576,212.393984,11.7988680672,80.840412,94.671392,140.0,10,10,100
524,1.87193738844,11.3305031,100,1.048576,211.480576,14.1635950716,84.324872,93.420984,180.0,10,10,100
525,0.0212637552153,1.0453183,100,0.524288,38.27712,0.0242798705718,8.440552,8.521604,2.0,40,5,1000
526,0.0122494725922,3.68292725,100,0.524288,86.499328,0.0192795256372,27.435424,42.48918,10.0,40,5,1000
527,0.0132452041599,14.4728252,100,0.524288,99.987456,0.0219916757529,92.860592,168.374076,40.0,40,5,1000
528,0.0142465940967,24.2209738,100,0.524288,101.638144,0.0232142533589,158.281536,267.530064,70.0,40,5,1000
529,0.0149580414849,34.48213925,100,0.524288,102.920192,0.0245731553051,230.879848,389.642712,100.0,40,5,1000
530,0.0205557247078,43.6951244,100,0.524288,104.689664,0.0333657090509,319.740656,530.570864,140.0,40,5,1000
531,0.0371334145499,48.8401088,100,0.524288,107.503616,0.05092345931,410.012536,679.00594,180.0,40,5,1000
532,0.0140676094657,1.78058095,100,1.048576,60.04736,0.0138789956067,16.851088,17.044184,2.0,10,10,500
533,0.00796952703309,9.3943565,100,1.048576,153.935872,0.0148784314979,75.860784,85.172212,10.0,10,10,500
534,0.00910560316933,32.8022338,100,1.048576,179.163136,0.016054299372,273.906972,315.154832,40.0,10,10,500
535,0.213143212931,38.44545295,100,1.048576,181.047296,0.2161784973,370.3304,411.267228,70.0,10,10,500
536,0.650179381756,38.7496358,100,1.048576,191.475712,0.653946480942,366.17314,408.257734,100.0,10,10,500
537,1.24490133771,46.1636737,100,1.048576,199.8336,1.26688993927,403.94989,451.638742,140.0,10,10,500
538,1.87438720831,51.9872108,100,1.048576,212.463616,1.89720974367,440.162072,438.878606,180.0,10,10,500
539,0.0657280709424,4.024957,100,5.24288,166.719488,0.065881204593,47.265680016,63.360012,2.0,80,50,100
540,0.637750797916,6.8915429,100,5.24288,472.6784,0.595089377128,48.56872,91.353216,10.0,80,50,100
541,0.82705438241,5.9123744,100,5.24288,575.430656,6.08372331647,11.199328,86.2607952027,40.0,80,50,100
542,2.53227596743,5.87370175,100,5.24288,628.699136,7.00623554964,3.13116,89.928228,70.0,80,50,100
543,3.96937065546,6.22309425,100,5.24288,648.466432,4.63319032219,3.100712,89.153864,100.0,80,50,100
544,5.29456301324,5.98745665,100,5.24288,646.623232,6.42661131212,1.454672,94.89842,140.0,80,50,100
545,6.11987613371,6.0630668,100,5.24288,657.14176,6.43384718326,1.228064,91.506436,180.0,80,50,100
546,0.0502050669891,0.4238072,100,0.104857,27.283456,0.0576281885749,1.27566,1.71332,2.0,95,1,1000
547,0.0422439146602,0.99167665,100,0.104857,47.009792,0.0517687358044,1.700352,8.536232,10.0,95,1,1000
548,0.039260295381,2.8237573,100,0.104857,51.912704,0.0543600733524,1.27566,33.697456,40.0,95,1,1000
549,0.0393414870029,4.59871395,100,0.104857,52.375552,0.0566976051796,2.55132,52.467028,70.0,95,1,1000
550,0.042189032187,7.0472263,100,0.104857,53.035008,0.0598190799841,3.95114424,81.468688,100.0,95,1,1000
