,cached_download_latency@client,cached_download_time@client,cpu@cache,cpu_limit,disk_node@cache,disk_write_speed@cache,failed_reqs_per_sec@client,filesize@client,idle_node_23@cache,iowait_node_23@cache,iowait_node_23_perc@cache,irq_node_23@cache,mem@cache,non_cached_download_latency@client,non_cached_download_time@client,rx_bitrate_cadv@cache:server,softirq_node_23@cache,tasks_uninterruptible_cadv@cache,tcp_established_cadv@cache,tx_bitrate_cadv@cache:client,tx_packet_size_cadv@cache:client,vcdn_users@client,wl_cachedperc,wl_filesize,wl_ratelimit
809,0.05254332122511175,0.005819441843604191,30.300425509153335,100,0.04382222222229757,80254.31396713058,0.0,0.10485699999999999,0.6831111111109042,0.000222222222222178,0.03220611916274321,0.0,36.014034488888875,0.07709008984584151,0.008407849402894988,58.12897266908632,0.105222222222316,0.0,0.06666666666666667,192.65118270203322,4445.648446052714,100.0,70,100,1000
810,0.05774137785047575,0.010077168333333577,42.31585262555545,100,0.08755555555568814,117182.39729294687,0.0,0.10485699999999999,0.5376666666681154,0.0,0.0,0.0,38.20057031111111,0.08308047370934504,0.012030135952536063,92.62689981047362,0.1582222222221996,0.0,0.4666666666666667,307.3596263134633,4351.492019810744,150.0,70,100,1000
811,0.10990143706159743,0.055125620205453155,48.44658841729037,100,0.04902222222218471,124231.1627786637,0.0,0.10485699999999999,0.4945555555569525,0.0,0.0,0.0,46.3536128,0.1549266988665989,0.06448236681406504,107.82477594594323,0.18511111111123077,0.0,0.6,359.54681798754365,4148.94415159951,200.0,70,100,1000
812,0.31699456928682623,0.2412621855700339,47.73799631103977,100,0.04733333333331555,112796.3689154698,0.0,0.10485699999999999,0.4903333333346786,0.0,0.0,0.0,57.212017777777795,0.44334791373354904,0.27696576910655335,115.45435498272332,0.1985555555556655,0.0,2.6444444444444444,384.5895121542683,4003.668006202778,300.0,70,100,1000
813,0.5240939440462554,0.433727046056367,51.13131796002369,100,0.047511111111129545,121507.73961919252,0.0,0.10485699999999999,0.49044444444459967,0.0,0.0,0.0,69.49819733333334,0.6984599418015579,0.46878000178110096,114.29863132914656,0.19277777777776162,0.0,5.044444444444444,381.31528587170965,3963.90904789117,400.0,70,100,1000
814,1.3889239095123065,0.5466648166167073,50.23315706591099,100,0.04582222222226038,129243.27966798414,0.0,0.10485699999999999,0.4812222222228431,0.000111111111111089,0.04535147392461761,0.0,81.26846293333334,2.089791574098266,0.6920858355871659,122.72706236385717,0.19566666666683483,0.0,8.066666666666666,413.937503531511,3924.532504999608,500.0,70,100,1000
815,3.103712449343449,0.7497021039574384,48.41759721095712,100,0.07337777777781108,491793.25649355864,0.0,0.10485699999999999,0.49044444444330615,0.0,0.0,0.0,90.82825386666666,4.944507819920392,1.0274249028354299,120.79567636121075,0.18855555555548764,0.0,12.822222222222223,392.9504047864297,3921.628844776052,600.0,70,100,1000
816,2.082383185812613,1.0812488941845662,45.43611913270739,100,0.03946666666670353,124985.33833939649,0.0,0.10485699999999999,0.49711111111100764,0.0,0.0,0.0,95.7616583111111,2.937866737253935,1.203097477619669,112.4563853260789,0.19411111111128573,0.0,8.444444444444445,378.25690605877406,3913.485530429819,700.0,70,100,1000
817,2.133540358094847,1.2083012797904635,46.13160861429311,100,0.039199999999942114,110056.83203917422,0.0,0.10485699999999999,0.49533333333286766,0.0,0.0,0.0,103.24596053333333,3.151755068234554,1.3721424492152166,121.90819500336603,0.1926666666667087,0.0,6.0,402.1430707887234,3892.479306968879,800.0,70,100,1000
818,4.637464927612357,1.4134578431250984,47.11452277597119,100,0.040577777777798474,114967.22315925643,0.0,0.10485699999999999,0.4952222222216531,0.0,0.0,0.0,115.89713920000001,5.849149860236485,1.5562373393564972,118.98683540375107,0.1946666666666311,0.0,3.7111111111111112,387.32484040495524,3912.868836338333,900.0,70,100,1000
819,3.5047373023759003,1.478855879274433,46.60717717467012,100,0.04297777777776193,132507.4181474154,0.0,0.10485699999999999,0.489666666664804,0.0,0.0,0.0,128.58618311111113,4.947796368039734,1.620946776762892,128.69919488078696,0.1881111111111952,0.0,9.88888888888889,421.1505662142675,3910.1589910636776,998.6,70,100,1000
820,0.447434172952271,0.004745049808590156,1.3964069023718086,100,0.04533333333331231,55881.508104189714,0.0,0.010485000000000003,0.9744444444452205,0.0,0.0,0.0,19.327658666666668,0.6646874804332309,0.007034816565128265,0.6643748529179141,0.0026666666665631864,0.0,0.044444444444444446,2.0818465159551964,3327.3297788362324,10.0,70,10,1000
821,0.4320698282588854,0.0046490967349386,2.592414454158691,100,0.051422222222269436,59039.72201636591,0.0,0.010485000000000003,0.961555555554676,0.000111111111111089,0.02290950744566787,0.0,19.66280248888889,0.6504473110997561,0.006937017539141462,1.333141775562684,0.006222222222196352,0.0,0.022222222222222223,4.317702915037087,3319.6997041253835,20.0,70,10,1000
822,0.4324983539917223,0.004662483294216556,3.862906684525194,100,0.04586666666667346,61854.88825854277,0.0,0.010485000000000003,0.9471111111110077,0.0,0.0,0.0,20.130292622222225,0.6516659063047054,0.007004659591369486,1.934675269680106,0.008222222222199586,0.0,0.044444444444444446,6.199964344721391,3321.188970275861,30.0,70,10,1000
823,0.42828911172878653,0.0046189973156118115,4.856893572491033,100,0.09866464601049599,65296.896284731745,0.0,0.010485000000000003,0.9387778438054686,0.000222222222222178,0.02383097259780963,0.0,20.765809777777775,0.6429028001343318,0.006838161059097959,2.5232097851409736,0.009888889000074404,0.0,0.022222222222222223,8.273635519895993,3328.244742987704,40.0,70,10,1000
824,0.4291339966264888,0.004629868808946154,6.084882971098937,100,0.04764444444444962,61722.30499665618,0.0,0.010485000000000003,0.9273333333329195,0.0,0.0,0.0,21.53913457777778,0.6453255911411488,0.006932751671427775,3.364720660166949,0.012888888888927695,0.0,0.022222222222222223,10.497340715507914,3312.9758148381425,50.0,70,10,1000
825,0.42417683398684836,0.004557802281189645,7.237647849077102,100,0.04533333333331231,70580.89564093838,0.0,0.010485000000000003,0.914000000001397,0.0002222222222223359,0.012210012210424545,0.0,22.47156622222222,0.63770939040254,0.0068023934596335555,3.77593766661377,0.015333333333304229,0.0,0.1111111111111111,12.231080469854167,3300.634602023164,60.0,70,10,1000
