,cached_download_latency@client,cpu@cache,cpu_limit,failed_reqs_per_sec@client,filesize@client,mem@cache,non_cached_download_latency@client,rx_bitrate_cadv@cache:server,tx_bitrate_cadv@cache:client,vcdn_users@client,wl_cachedperc,wl_filesize,wl_ratelimit
0,0.02053184289674409,5.3418467,100,0.0,1.048576,59.47392,0.02183874454473621,29.487292,34.105072,4.0,10,10,1000
1,0.012793634706162835,11.66463474999997,100,0.0,1.048576,75.39712,0.030977588818275593,67.41161199999999,68.204216,10.0,10,10,1000
2,0.14063926170013177,16.58978140333339,100,0.0,1.048576,79.99488,0.09483481791035718,127.27786712533333,146.776166944,20.0,10,10,1000
3,0.3485880094090876,23.12322490000005,100,0.0,1.048576,93.42976,0.3529887617287029,164.743724,178.845336,40.0,10,10,1000
4,0.5084966890098994,33.94930797727487,100,0.0,1.048576,103.79264,0.6184854005036846,248.31619773756344,268.7148803137627,60.0,10,10,1000
5,0.8251148456725821,30.639790706457863,100,0.0,1.048576,110.1824,0.8478884934962121,249.71884344227885,178.82507225587204,80.0,10,10,1000
6,1.1309369228655024,36.15924315000001,100,0.0,1.048576,116.15641600000001,1.3408534353335442,251.133172,292.97582721382287,100.0,10,10,1000
7,1.1715692936374416,43.11141859999985,100,0.0,1.048576,130.981888,1.6342525032413193,264.03880163709323,314.57771184,120.0,10,10,1000
8,1.3598432508684724,24.92413711781902,100,0.0,1.048576,159.268864,1.5645021837270028,209.62033334366924,155.20590933333332,140.0,10,10,1000
9,1.8414224583551682,38.19767150000004,100,0.0,1.048576,153.841664,2.047384512640977,372.17675437303365,282.39592,160.0,10,10,1000
10,2.5828714298259663,22.576783190659068,100,0.0,1.048576,148.590592,2.5663305557795155,287.7538408169014,160.98561881431004,180.0,10,10,1000
11,0.0697245385682331,1.1065631500000006,100,0.0,0.104857,26.578944,0.09786362403875086,3.394632,3.4300279999999996,4.0,10,1,1000
12,0.0534721755489231,2.331505200000006,100,0.0,0.104857,29.835264,0.08776386192899527,7.653432,8.560364000000002,10.0,10,1,1000
13,0.05387500266681263,4.405561199999997,100,0.0,0.104857,30.130176,0.09607775607184618,15.318448,17.106384,20.0,10,1,1000
14,0.05334328609547287,8.22324567499999,100,0.0,0.104857,30.953472,0.09214155816894343,31.049476,33.779928,40.0,10,1,1000
15,0.07009859659688839,11.506994250000036,100,0.0,0.104857,31.51872,0.09880008038877523,43.402968,48.7301,60.0,10,1,1000
16,0.06557030973583466,13.664192400000008,100,0.0,0.104857,33.128448,0.11408744045759064,56.789097999999996,66.682012,80.0,10,1,1000
17,0.07477452652839903,17.473541799999918,100,0.0,0.104857,34.373632,0.12844739395016422,73.165464,83.343732,100.0,10,1,1000
18,0.0786394922221774,19.783985899999834,100,0.0,0.104857,36.655104,0.12268338538369378,81.669324,89.45664,120.0,10,1,1000
19,0.07419007093692906,25.392212599999908,100,0.0,0.104857,40.01792,0.13001618330460352,106.31681599999999,118.74938399999999,140.0,10,1,1000
20,0.08270135745496167,26.100333649999996,100,0.0,0.104857,41.435136,0.14724025584942232,118.68114800000001,131.08793599999998,160.0,10,1,1000
21,0.09654280873606569,28.059304649999817,100,0.0,0.104857,42.934272,0.14587815666718446,121.21058,136.352416,180.0,10,1,1000
22,0.028445925149668237,10.23586105,100,0.0,2.097152,98.85696,0.027012510357947096,58.880156,61.946031999999995,4.0,10,20,1000
23,0.065309614487204,21.361109299999946,100,0.0,2.097152,128.360448,0.06877167378536828,120.771102,155.818016,10.0,10,20,1000
24,0.02904245037460841,28.214784100000045,100,0.0,2.097152,127.660032,0.18000103860599276,193.98050800000001,219.880388,20.0,10,20,1000
25,0.3935732634662076,39.28036125097892,100,0.0,2.097152,137.07264,0.4531939067172854,338.8381329129662,382.17687180106566,40.0,10,20,1000
26,0.7388749446767385,38.79969810000006,100,0.0,2.097152,143.998976,0.8397744447504534,312.36691397353496,326.139502,60.0,10,20,1000
27,0.977804091572331,40.34605584999973,100,0.0,2.097152,154.7264,1.159129213042631,291.464504272,335.742944608,80.0,10,20,1000
28,1.096890473403211,57.07265530347601,100,0.0,2.097152,196.272128,0.8121613501626295,344.3750684571048,431.94400865041064,100.0,10,20,1000
29,1.3595461998047735,49.99987577749976,100,0.0,2.097152,287.033344,1.274122104387635,417.16538399999996,377.99359104,120.0,10,20,1000
30,2.407794672746829,42.013877996933566,100,0.0,2.097152,206.62272,2.438557124038885,238.6646723353681,299.66468537965795,140.0,10,20,1000
31,1.954400704522366,57.394511250000235,100,0.0,2.097152,292.41344,1.9977112537593773,371.54661999999996,459.57048799999995,160.0,10,20,1000
32,3.1846515230927146,3.1031520465659232,100,0.0,2.097152,238.055424,2.601411483979824,14.606900423999999,22.819846133333336,180.0,10,20,1000
33,0.03605434124734536,13.791577099999994,100,0.0,3.145728,131.252224,0.02377777039230222,91.393624,95.90695199999999,4.0,10,30,1000
34,0.07286640526988437,20.704363900000015,100,0.0,3.145728,178.868224,0.07850422986187662,138.840636,153.446476,10.0,10,30,1000
35,0.1439487723953012,32.73742965000004,100,0.0,3.145728,186.740736,0.18029211559591254,230.70110799999998,255.74223999999998,20.0,10,30,1000
36,0.41792130123976357,49.49955845000016,100,0.0,3.145728,185.135104,0.5719364606119361,344.83849599999996,404.071422,40.0,10,30,1000
37,1.0180386997607478,17.064917159149196,100,0.0,3.145728,129.052672,0.8881036458181476,152.85272,144.33732385599998,60.0,10,30,1000
38,1.02361089798837,37.98112297500005,100,0.0,3.145728,201.879552,0.7154481626911778,270.59922580645167,206.88165591397848,80.0,10,30,1000
