,cached_download_latency@client,cpu@cache,cpu_limit,failed_reqs_per_sec@client,filesize@client,mem@cache,non_cached_download_latency@client,rx_bitrate_cadv@cache:server,tx_bitrate_cadv@cache:client,vcdn_users@client,wl_cachedperc,wl_filesize,wl_ratelimit
0,0.020991759336086345,6.760262457017543,100,0.0,1.0485759999999997,20.623360000000005,0.02329845867573271,49.17554300350877,50.003580982456135,6.0,10,10,1000
1,0.019907691187422086,10.375360246662229,100,0.0,1.0485759999999997,21.221879017543863,0.01997402894891075,82.17134621405438,83.22718154691381,10.0,10,10,1000
2,0.019803410437490135,11.7040258131579,100,0.0,1.0485759999999997,22.317954245614036,0.02219089256387584,98.00513312280701,99.04821810526316,12.0,10,10,1000
3,0.021529166501513538,13.981992535964913,100,0.0,1.0485759999999997,22.888879157894735,0.022803881926223263,112.22074757894734,113.45901957894736,14.0,10,10,1000
4,0.022072863214597054,19.359046265789473,100,0.0,1.0485759999999997,23.68328757894737,0.024143681972010167,167.2567255728655,167.22460102456142,20.0,10,10,1000
5,0.02540429242938492,38.55837716637932,100,0.0,1.0485759999999997,27.40421737931035,0.024667908878829237,318.3397297931034,325.58537241379304,40.0,10,10,1000
6,0.030888795347458753,52.21130358771928,100,0.0,1.0485759999999997,30.223952842105263,0.03059243472383529,479.0234510722807,485.4907653340819,60.0,10,10,1000
7,0.0347022860356595,65.76787537807019,100,0.0,1.0485759999999997,30.857611228070176,0.036186463840178144,647.1705825964913,656.3769876491227,80.0,10,10,1000
8,0.04609612889840084,80.22024146637932,100,0.0,1.0485759999999997,32.59144827586207,0.04640789548447109,794.5542765517241,807.7310758620689,100.0,10,10,1000
9,0.05423261727955305,90.90431286293105,100,0.0,1.0485759999999997,35.640567172413796,0.05546097127503085,913.3556450344828,930.40976,120.0,10,10,1000
10,0.21458689486129368,64.88343268333333,100,0.0,1.0485759999999997,43.201302456140354,0.20665024359336373,945.2373321403509,953.8394273684211,140.0,10,10,1000
11,0.3644481073750847,69.55033072631576,100,0.0,1.0485759999999997,48.45144028070176,0.3516230773809722,936.2933003508772,960.2561828070176,160.0,10,10,1000
12,0.5488477872999127,88.53595492155176,100,0.0,1.0485759999999997,56.19895613793104,0.5094621352379215,903.6135540689654,946.0217788275861,179.9655172413793,10,10,1000
13,0.05684559416957417,1.1933669368421052,100,0.0,0.10485699999999998,23.73078680701754,0.08128925703413092,4.510273260070175,5.093398961824561,6.0,10,1,1000
14,0.05697826801973318,1.9005739552631575,100,0.0,0.10485699999999999,24.63823045614035,0.08315078513328243,7.49087494736842,8.250301684210527,10.0,10,1,1000
15,0.056849766503324246,2.2752094043859645,100,0.0,0.10485699999999999,24.88090049122807,0.08428002318433568,9.005452070175439,9.900025543859648,12.0,10,1,1000
16,0.055554868464741905,2.543729891228071,100,0.0,0.10485699999999999,25.063639578947367,0.08505930011030663,11.08392830877193,12.393334596491227,14.0,10,1,1000
17,0.05439068393556436,3.580781980701753,100,0.0,0.104857,25.255576701754386,0.08115679375703487,15.230778315789472,16.59726547368421,20.0,10,1,1000
18,0.054972863900057956,6.390642068421053,100,0.0,0.10485699999999999,25.6646018245614,0.08164797866576691,29.84444032,32.86894868865497,40.0,10,1,1000
19,0.05381835716173498,9.733422666666666,100,0.0,0.10485699999999999,26.222735719298246,0.08066543386428146,45.450554983111104,50.308199948070175,60.0,10,1,1000
20,0.05289343595945493,13.223691778070178,100,0.0,0.104857,26.948158877192977,0.08090076711678555,63.311219302081874,69.28934568421052,80.0,10,1,1000
21,0.05270863658562126,15.825453333333332,100,0.0,0.104857,27.833685333333335,0.08065303169454237,73.92752364912279,82.14745221052632,100.0,10,1,1000
22,0.052471860864557796,19.09692324912281,100,0.0,0.10485699999999999,28.882189473684214,0.08052221883372367,89.32185577141522,97.06335978619883,120.0,10,1,1000
23,0.054675317039962174,22.74774656929825,100,0.0,0.10485699999999999,30.128666947368423,0.08233358898892569,107.80535474217544,119.35060772725147,140.0,10,1,1000
24,0.054623799801677586,25.641557163035692,100,0.0,0.10485699999999999,31.56169207017544,0.08040899167142343,120.07379888133534,133.29771207707975,160.0,10,1,1000
25,0.05580787559310535,28.58453941754386,100,0.0,0.10485699999999999,33.131753543859645,0.08234732204339795,139.86466575438595,156.0137452631579,180.0,10,1,1000
26,0.016835448907539404,9.303690723584557,100,0.0,1.572864,21.258383719298244,0.019008818202690004,72.60934651380546,73.45518421755808,6.0,10,15,1000
27,0.01742554646481757,14.816316311403506,100,0.0,1.572864,22.332972912280702,0.019761105603623284,121.79864928617542,123.46768421146197,10.0,10,15,1000
28,0.020921150612277284,16.63801486842105,100,0.0,1.572864,23.630901894736844,0.021709636599776382,141.54001171929826,141.59979150877194,12.0,10,15,1000
29,0.017372851452837377,18.90030346403509,100,0.0,1.572864,25.545745964912282,0.021246497796400605,170.73486119298244,173.8368565614035,14.0,10,15,1000
30,0.0236094661649761,28.491901361403507,100,0.0,1.572864,26.928469333333336,0.022632781015623115,246.91474280701755,249.6600734736842,20.0,10,15,1000
31,0.033579382616080164,48.03264978579649,100,0.0,1.572864,31.797679157894734,0.02782202861520372,470.232996,477.3951165614034,40.0,10,15,1000
32,0.03566465402543292,69.079563637069,100,0.0,1.572864,38.95366620689656,0.03458460923371562,677.6475503448274,689.2388222758619,60.0,10,15,1000
33,0.04510105518729434,84.21911311810344,100,0.0,1.572864,42.05998786206896,0.05060116586823184,881.2520213793103,892.6136183462069,80.0,10,15,1000
